"NOC","Year","Season","Medal","Count"
"SUI",2000,"Summer","Gold",1
"GDR",2000,"Summer","Gold",0
"SWE",2000,"Summer","Gold",4
"GBR",2000,"Summer","Gold",22
"ROU",2000,"Summer","Gold",27
"GER",2000,"Summer","Gold",31
"POL",2000,"Summer","Gold",7
"TCH",2000,"Summer","Gold",0
"FRG",2000,"Summer","Gold",0
"KOR",2000,"Summer","Gold",12
"CHN",2000,"Summer","Gold",39
"DEN",2004,"Summer","Gold",19
"FIN",2004,"Summer","Gold",0
"NOR",2004,"Summer","Gold",5
"NED",2004,"Summer","Gold",4
"FRA",2004,"Summer","Gold",21
"ITA",2004,"Summer","Gold",24
"ESP",2004,"Summer","Gold",4
"RUS",2004,"Summer","Gold",48
"USA",2004,"Summer","Gold",117
"HUN",2004,"Summer","Gold",24
"AUS",2004,"Summer","Gold",49
"CAN",2004,"Summer","Gold",3
"URS",2004,"Summer","Gold",0
"JPN",2004,"Summer","Gold",21
"SUI",2004,"Summer","Gold",1
"GDR",2004,"Summer","Gold",0
"SWE",2004,"Summer","Gold",5
"GBR",2004,"Summer","Gold",17
"ROU",2004,"Summer","Gold",23
"GER",2004,"Summer","Gold",41
"POL",2004,"Summer","Gold",4
"TCH",2004,"Summer","Gold",0
"FRG",2004,"Summer","Gold",0
"KOR",2004,"Summer","Gold",14
"CHN",2004,"Summer","Gold",52
"DEN",2008,"Summer","Gold",6
"FIN",2008,"Summer","Gold",1
"NOR",2008,"Summer","Gold",16
"NED",2008,"Summer","Gold",39
"FRA",2008,"Summer","Gold",25
"ITA",2008,"Summer","Gold",8
"ESP",2008,"Summer","Gold",7
"RUS",2008,"Summer","Gold",43
"USA",2008,"Summer","Gold",127
"HUN",2008,"Summer","Gold",16
"AUS",2008,"Summer","Gold",31
"CAN",2008,"Summer","Gold",11
"URS",2008,"Summer","Gold",0
"JPN",2008,"Summer","Gold",23
"SUI",2008,"Summer","Gold",3
"GDR",2008,"Summer","Gold",0
"SWE",2008,"Summer","Gold",0
"GBR",2008,"Summer","Gold",31
"ROU",2008,"Summer","Gold",5
"GER",2008,"Summer","Gold",42
"POL",2008,"Summer","Gold",6
"TCH",2008,"Summer","Gold",0
"FRG",2008,"Summer","Gold",0
"KOR",2008,"Summer","Gold",41
"CHN",2008,"Summer","Gold",74
"DEN",2012,"Summer","Gold",3
"FIN",2012,"Summer","Gold",0
"NOR",2012,"Summer","Gold",15
"NED",2012,"Summer","Gold",21
"FRA",2012,"Summer","Gold",30
"ITA",2012,"Summer","Gold",16
"ESP",2012,"Summer","Gold",5
"RUS",2012,"Summer","Gold",50
"USA",2012,"Summer","Gold",145
"HUN",2012,"Summer","Gold",12
"AUS",2012,"Summer","Gold",18
"CAN",2012,"Summer","Gold",1
